Thread  	Address                 	Instruction                     	Result                                  	
00000B74	.text:loc_4017F4+3      	xor     eax, eax                	EAX=00000000 PF=1 ZF=1                  	
00000B74	.text:004017F9          	jz      short near ptr loc_4017F4+1	                                        	
00000B74	.text:loc_4017F4+1      	jmp     short loc_4017FC        	                                        	
00000B74	.text:loc_4017FC        	push    eax                     	ESP=0018FDCC                            	
00000B74	.text:004017FD          	popf                            	ESP=0018FDD0 PF=0 ZF=0                  	
00000B74	.text:004017FE          	mov     dword ptr [ebx+0A8h], 4CCE61B8h	                                        	
00000B74	.text:00401808          	jnz     short loc_40180B        	                                        	
00000B74	.text:loc_40180B        	mov     dword ptr [ebx+0A4h], 9B55C101h	                                        	
00000B74	.text:00401815          	jz      short loc_40181A        	                                        	
00000B74	.text:00401817          	jnz     short loc_40181A        	                                        	
00000B74	.text:loc_40181A        	mov     dword ptr [ebx+0A0h], 0B56EDA0Ah	                                        	
00000B74	.text:loc_401824        	mov     ax, 6EBh                	EAX=000006EB                            	
00000B74	.text:00401828          	xor     eax, eax                	EAX=00000000 PF=1 ZF=1                  	
00000B74	.text:0040182A          	jz      short near ptr loc_401824+2	                                        	
00000B74	.text:loc_401824+2      	jmp     short loc_40182E        	                                        	
00000B74	.text:loc_40182E        	mov     dword ptr [ebx+9Ch], 1BD656CAh	                                        	
00000B74	.text:00401838          	jnz     short loc_40183E        	                                        	
00000B74	.text:0040183A          	jz      short loc_40183E        	                                        	
00000B74	.text:loc_40183E        	mov     dword ptr [ebx+98h], 7E11C8B9h	                                        	
00000B74	.text:00401848          	push    eax                     	ESP=0018FDCC                            	
00000B74	.text:00401849          	popf                            	ESP=0018FDD0 PF=0 ZF=0                  	
00000B74	.text:0040184A          	jnz     short loc_40184D        	                                        	
00000B74	.text:loc_40184D        	mov     dword ptr [ebx+90h], 93F9F1FAh	                                        	
00000B74	.text:00401857          	mov     ax, 5EBh                	EAX=000005EB                            	
00000B74	.text:loc_401858+3      	xor     eax, eax                	EAX=00000000 PF=1 ZF=1                  	
00000B74	.text:0040185D          	jz      short near ptr loc_401858+1	                                        	
00000B74	.text:loc_401858+1      	jmp     short loc_401860        	                                        	
00000B74	.text:loc_401860        	mov     dword ptr [ebx+8Ch], 5C6B6716h	                                        	
00000B74	.text:0040186A          	jz      short loc_40186D        	                                        	
00000B74	.text:loc_40186D        	mov     dword ptr [ebx+94h], 23F8D4F2h	                                        	
00000B74	.text:00401877          	jz      short loc_40187A        	                                        	
00000B74	.text:loc_40187A        	mov     dword ptr [ebx+88h], 0B887BC75h	                                        	
00000B74	.text:loc_401884        	mov     ax, 5EBh                	EAX=000005EB                            	
00000B74	.text:00401888          	xor     eax, eax                	EAX=00000000                            	
00000B74	.text:0040188A          	jz      short near ptr loc_401884+2	                                        	
00000B74	.text:loc_401884+2      	jmp     short near ptr unk_40188D	                                        	
00000B74	.text:unk_40188D        	mov     dword ptr [ebx+84h], 4EF5BEACh	                                        	
00000B74	.text:00401897          	jz      short near ptr byte_401899+1	                                        	
00000B74	.text:byte_401899+1     	mov     dword ptr [ebx+80h], 2C2B2A07h	                                        	
00000B74	.text:004018A4          	jz      short near ptr unk_4018A9	                                        	
00000B74	.text:unk_4018A9        	mov     dword ptr [ebx+7Ch], 0E051511h	                                        	
00000B74	.text:004018B0          	mov     ax, 5EBh                	EAX=000005EB                            	
00000B74	.text:004018B4          	xor     eax, eax                	EAX=00000000                            	
00000B74	.text:004018B6          	jz      short near ptr unk_4018B2	                                        	
00000B74	.text:unk_4018B2        	jmp     short near ptr unk_4018B9	                                        	
00000B74	.text:unk_4018B9        	mov     dword ptr [ebx+70h], 0C1B0826h	                                        	
00000B74	.text:004018C0          	push    eax                     	ESP=0018FDCC                            	
00000B74	.text:004018C1          	popf                            	ESP=0018FDD0 PF=0 ZF=0                  	
00000B74	.text:004018C2          	jnz     short near ptr dword_4018C4+1	                                        	
00000B74	.text:dword_4018C4+1    	mov     dword ptr [ebx+6Ch], 13280Bh	                                        	
00000B74	.text:004018CC          	jnz     short near ptr unk_4018CF	                                        	
00000B74	.text:unk_4018CF        	mov     dword ptr [ebx+78h], 20182201h	                                        	
00000B74	.text:004018D6          	jz      short near ptr unk_4018DB	                                        	
00000B74	.text:004018D8          	jnz     short near ptr unk_4018DB	                                        	
00000B74	.text:unk_4018DB        	mov     dword ptr [ebx+74h], 1C242704h	                                        	
00000B74	.text:004018E2          	jnz     short near ptr dword_4018E4+1	                                        	
00000B74	.text:dword_4018E4+1    	mov     dword ptr [ebx+68h], 2119031Dh	                                        	
00000B74	.text:dword_4018EC      	mov     ax, 6EBh                	EAX=000006EB                            	
00000B74	.text:dword_4018EC+4    	xor     eax, eax                	EAX=00000000 PF=1 ZF=1                  	
00000B74	.text:dword_4018EC+6    	jz      short near ptr dword_4018EC+2	                                        	
00000B74	.text:dword_4018EC+2    	jmp     short loc_4018F6        	                                        	
00000B74	.text:loc_4018F6        	mov     dword ptr [ebx+64h], 25140F23h	                                        	
00000B74	.text:004018FD          	jz      short loc_401900        	                                        	
00000B74	.text:loc_401900        	mov     dword ptr [ebx+60h], 91F1016h	                                        	
00000B74	.text:00401907          	jz      short loc_40190A        	                                        	
00000B74	.text:loc_40190A        	mov     dword ptr [ebx+5Ch], 1E020D0Ah	                                        	
00000B74	.text:byte_401911       	mov     ax, 5EBh                	EAX=000005EB                            	
00000B74	.text:dword_401914+1    	xor     eax, eax                	EAX=00000000                            	
00000B74	.text:dword_401914+3    	jz      short near ptr byte_401911+2	                                        	
00000B74	.text:byte_401911+2     	jmp     short loc_40191A        	                                        	
00000B74	.text:loc_40191A        	mov     dword ptr [ebx+58h], 1A170612h	                                        	
00000B74	.text:00401921          	add     esp, 0FFFFFFFCh         	ESP=0018FDCC CF=1 ZF=0                  	
00000B74	.text:00401924          	mov     [esp], eax              	                                        	
00000B74	.text:00401927          	popf                            	ESP=0018FDD0 CF=0 PF=0                  	
00000B74	.text:00401928          	jnz     short loc_40192B        	                                        	
00000B74	.text:loc_40192B        	mov     dword ptr [ebx+54h], 0CF03F9D2h	                                        	
00000B74	.text:00401932          	jnz     short loc_401938        	                                        	
00000B74	.text:loc_401938        	mov     dword ptr [ebx+50h], 66535319h	                                        	
00000B74	.text:0040193F          	jnz     short loc_401942        	                                        	
00000B74	.text:loc_401942        	mov     dword ptr [ebx+4Ch], 2E30565Dh	                                        	
00000B74	.text:00401949          	jz      short loc_40194E        	                                        	
00000B74	.text:0040194B          	jnz     short loc_40194E        	                                        	
00000B74	.text:loc_40194E        	mov     dword ptr [ebx+44h], 4EF4C35Dh	                                        	
00000B74	.text:byte_401955       	mov     ax, 5EBh                	EAX=000005EB                            	
00000B74	.text:00401959          	xor     eax, eax                	EAX=00000000 PF=1 ZF=1                  	
00000B74	.text:0040195B          	jz      short near ptr byte_401955+2	                                        	
00000B74	.text:byte_401955+2     	jmp     short loc_40195E        	                                        	
00000B74	.text:loc_40195E        	mov     dword ptr [ebx+40h], 278E0EC3h	                                        	
00000B74	.text:00401965          	jz      short loc_401968        	                                        	
00000B74	.text:loc_401968        	mov     dword ptr [ebx+48h], 0F2BC4206h	                                        	
00000B74	.text:0040196F          	mov     ax, 5EBh                	EAX=000005EB                            	
00000B74	.text:dword_401970+3    	xor     eax, eax                	EAX=00000000                            	
00000B74	.text:dword_401970+5    	jz      short near ptr dword_401970+1	                                        	
00000B74	.text:dword_401970+1    	jmp     short loc_401978        	                                        	
00000B74	.text:loc_401978        	mov     dword ptr [ebx+3Ch], 0C66B5A16h	                                        	
00000B74	.text:0040197F          	mov     ax, 6EBh                	EAX=000006EB                            	
00000B74	.text:dword_401980+3    	xor     eax, eax                	EAX=00000000                            	
00000B74	.text:dword_401980+5    	jz      short near ptr dword_401980+1	                                        	
00000B74	.text:dword_401980+1    	jmp     short loc_401989        	                                        	
00000B74	.text:loc_401989        	mov     dword ptr [ebx+38h], 0EBE101DCh	                                        	
00000B74	.text:00401990          	jz      short loc_401995        	                                        	
00000B74	.text:loc_401995        	mov     dword ptr [ebx+34h], 55509AF9h	                                        	
00000B74	.text:dword_40199C      	mov     ax, 5EBh                	EAX=000005EB                            	
00000B74	.text:dword_40199C+4    	xor     eax, eax                	EAX=00000000                            	
00000B74	.text:dword_40199C+6    	jz      short near ptr dword_40199C+2	                                        	
00000B74	.text:dword_40199C+2    	jmp     short loc_4019A5        	                                        	
00000B74	.text:loc_4019A5        	mov     dword ptr [ebx+30h], 7748F080h	                                        	
00000B74	.text:004019AC          	push    eax                     	ESP=0018FDCC                            	
00000B74	.text:004019AD          	popf                            	ESP=0018FDD0 PF=0 ZF=0                  	
00000B74	.text:004019AE          	jnz     short loc_4019B1        	                                        	
00000B74	.text:loc_4019B1        	mov     dword ptr [ebx+2Ch], 0B8CCC2BAh	                                        	
00000B74	.text:dword_4019B8      	mov     ax, 5EBh                	EAX=000005EB                            	
00000B74	.text:dword_4019B8+4    	xor     eax, eax                	EAX=00000000 PF=1 ZF=1                  	
00000B74	.text:dword_4019B8+6    	jz      short near ptr dword_4019B8+2	                                        	
00000B74	.text:dword_4019B8+2    	jmp     short loc_4019C1        	                                        	
00000B74	.text:loc_4019C1        	mov     dword ptr [ebx+28h], 0F0C833F2h	                                        	
00000B74	.text:004019C8          	jz      short loc_4019CD        	                                        	
00000B74	.text:loc_4019CD        	mov     dword ptr [ebx+24h], 7307F613h	                                        	
00000B74	.text:004019D4          	jz      short loc_4019D7        	                                        	
00000B74	.text:loc_4019D7        	mov     dword ptr [ebx+20h], 2CD1A1Fh	                                        	
00000B74	.text:004019DE          	jz      short loc_4019E1        	                                        	
00000B74	.text:loc_4019E1        	mov     dword ptr [ebx+18h], 3D7F8C7h	                                        	
00000B74	.text:dword_4019E8      	mov     ax, 5EBh                	EAX=000005EB                            	
00000B74	.text:dword_4019E8+4    	xor     eax, eax                	EAX=00000000                            	
00000B74	.text:dword_4019E8+6    	jz      short near ptr dword_4019E8+2	                                        	
00000B74	.text:dword_4019E8+2    	jmp     short near ptr unk_4019F1	                                        	
00000B74	.text:unk_4019F1        	mov     dword ptr [ebx+14h], 98C35C1Fh	                                        	
00000B74	.text:004019F8          	sub     esp, 4                  	ESP=0018FDCC AF=1 ZF=0                  	
00000B74	.text:004019FB          	mov     [esp], eax              	                                        	
00000B74	.text:004019FE          	popf                            	ESP=0018FDD0 PF=0 AF=0                  	
00000B74	.text:004019FF          	jnz     short near ptr unk_401A02	                                        	
00000B74	.text:unk_401A02        	mov     dword ptr [ebx+10h], 92C81DF9h	                                        	
00000B74	.text:byte_401A09       	mov     ax, 5EBh                	EAX=000005EB                            	
00000B74	.text:00401A0D          	xor     eax, eax                	EAX=00000000 PF=1 ZF=1                  	
00000B74	.text:00401A0F          	jz      short near ptr byte_401A09+2	                                        	
00000B74	.text:byte_401A09+2     	jmp     short loc_401A12        	                                        	
00000B74	.text:loc_401A12        	mov     dword ptr [ebx+1Ch], 0E73C8AB0h	                                        	
00000B74	.text:00401A19          	jz      short loc_401A1D        	                                        	
00000B74	.text:loc_401A1D        	mov     dword ptr [ebx+0Ch], 43586CD8h	                                        	
00000B74	.text:00401A24          	jz      short loc_401A29        	                                        	
00000B74	.text:loc_401A29        	mov     dword ptr [ebx+8], 9F2F8AC1h	                                        	
00000B74	.text:00401A30          	jz      short loc_401A33        	                                        	
00000B74	.text:loc_401A33        	mov     dword ptr [ebx+4], 584EF20Ah	                                        	
00000B74	.text:00401A3A          	mov     ax, 5EBh                	EAX=000005EB                            	
00000B74	.text:dword_401A3C+2    	xor     eax, eax                	EAX=00000000                            	
00000B74	.text:00401A40          	jz      short near ptr dword_401A3C	                                        	
00000B74	.text:dword_401A3C      	jmp     short loc_401A43        	                                        	
00000B74	.text:loc_401A43        	mov     dword ptr [ebx], 776DA9CCh	                                        	
00000B74	.text:00401A49          	xor     esi, esi                	ESI=00000000                            	
00000B74	.text:00401A4B          	jz      short loc_401A4E        	                                        	
00000B74	.text:loc_401A4E        	mov     edx, esi                	EDX=00000000                            	
00000B74	.text:00401A50          	jz      short loc_401A53        	                                        	
00000B74	.text:loc_401A53        	inc     edx                     	EDX=00000001 PF=0 ZF=0                  	
00000B74	.text:loc_401A54        	mov     ax, 5EBh                	EAX=000005EB                            	
00000B74	.text:00401A58          	xor     eax, eax                	EAX=00000000 PF=1 ZF=1                  	
00000B74	.text:00401A5A          	jz      short near ptr loc_401A54+2	                                        	
00000B74	.text:loc_401A54+2      	jmp     short near ptr loc_401A5C+1	                                        	
00000B74	.text:loc_401A5C+1      	jz      short near ptr unk_401A61	                                        	
00000B74	.text:unk_401A61        	mov     ax, 5EBh                	EAX=000005EB                            	
00000B74	.text:00401A65          	xor     eax, eax                	EAX=00000000                            	
00000B74	.text:00401A67          	jz      short near ptr unk_401A63	                                        	
00000B74	.text:unk_401A63        	jmp     short near ptr unk_401A6A	                                        	
00000B74	.text:unk_401A6A        	movsx   eax, dl                 	EAX=00000001                            	
00000B74	.text:00401A6D          	shl     eax, 16h                	EAX=00400000 ZF=0                       	
00000B74	.text:00401A70          	jnz     short near ptr unk_401A74	                                        	
00000B74	.text:unk_401A74        	sub     eax, 0FFFFDE7Ah         	EAX=00402186 CF=1 PF=0 AF=1             	
00000B74	.text:00401A79          	mov     ecx, [ebp-14h]          	ECX=00000001                            	
00000B74	.text:00401A7C          	test    ecx, ecx                	CF=0 AF=0                               	
00000B74	.text:00401A7E          	jnz     short loc_401A83        	                                        	
00000B74	.text:loc_401A83        	mov     ecx, [esp+0DCh]         	ECX=000000FF                            	
00000B74	.text:00401A8A          	cmovz   ecx, esi                	                                        	
00000B74	.text:00401A8D          	jz      short near ptr loc_401A91+1	                                        	
00000B74	.text:00401A8F          	jnz     short near ptr loc_401A91+1	                                        	
00000B74	.text:loc_401A91+1      	mov     [esp+0DCh], ecx         	                                        	
00000B74	.text:00401A99          	mov     ecx, [ebp-14h]          	ECX=00000001                            	
00000B74	.text:00401A9C          	mov     al, [eax+ecx]           	EAX=00402178 EFL=00000200               	
00000B74	.text:00401A9F          	jnz     short loc_401AA4        	                                        	
